Symptoms,Disease
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Heart attack
"constipation, pain during bowel movements, bloody stool, irritation in anus",Cervical spondylosis
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Typhoid
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Fungal infection
"chest pain, dizziness, loss of balance, lack of concentration",GERD
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Diabetes
"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain,",Allergy
"vomiting, headache, weakness of one body side, altered sensorium",Drug Reaction
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Alcoholic hepatitis
"back pain, neck pain, dizziness, loss of balance",AIDS
"vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Hepatitis B
"weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Diabetes
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Hepatitis E
"stomach pain, acidity, ulcers on tongue, cough, chest pain",Jaundice
"itching, skin rash, burning micturition, spotting  urination",Jaundice
"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Hepatitis C
"vomiting, breathlessness, sweating,",Hypertension
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Varicose veins
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Diabetes
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Jaundice
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Allergy
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Varicose veins
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Common Cold
"itching, skin rash, stomach pain, burning micturition","Chronic cholestasis,"
"itching, skin rash, dischromic  patches,",Gastroenteritis
"itching, skin rash, burning micturition, spotting  urination",Heart attack
"continuous sneezing, shivering, chills,",Impetigo
"burning micturition, bladder discomfort, foul smell of urine,",Psoriasis
"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, muscle weakness, irritability, abnormal menstruation,",Chicken pox
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Cervical spondylosis
"stomach pain, acidity, vomiting, cough, chest pain",Impetigo
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Dimorphic hemmorhoids(piles)
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Peptic ulcer diseae
"vomiting, headache, nausea, spinning movements, loss of balance",Chicken pox
"muscle wasting, patches in throat, high fever, extra marital contacts",Chicken pox
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Hypothyroidism
"vomiting, sweating, chest pain,",Hypothyroidism
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Psoriasis
"itching, skin rash, stomach pain, burning micturition",Allergy
"muscle wasting, patches in throat, high fever, extra marital contacts",(vertigo) Paroymsal  Positional Vertigo
"continuous sneezing, chills, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Migraine
"joint pain, vomiting, fatigue, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Varicose veins
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Gastroenteritis
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",AIDS
"skin rash, pus filled pimples, blackheads,",Jaundice
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",Hypertension
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",AIDS
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Malaria
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Hepatitis D
"vomiting, breathlessness, chest pain,",GERD
"vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",Common Cold
"stomach pain, acidity, vomiting, cough, chest pain",hepatitis A
"vomiting, headache, spinning movements, loss of balance, unsteadiness",Psoriasis
"chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Diabetes
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Acne
"headache, nausea, spinning movements, loss of balance, unsteadiness",Hypoglycemia
"vomiting, breathlessness, sweating,",Dimorphic hemmorhoids(piles)
"acidity, ulcers on tongue, vomiting, cough, chest pain",GERD
"fatigue, nausea, loss of appetite, yellowing of eyes, family history",Paralysis (brain hemorrhage)
"itching, skin rash, stomach pain, burning micturition",Acne
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Arthritis
"sunken eyes, dehydration, diarrhoea,",Alcoholic hepatitis
"itching, skin rash, stomach pain, burning micturition",Hypothyroidism
"itching, skin rash, burning micturition, spotting  urination",Bronchial Asthma
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Hypertension
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Hypoglycemia
"itching, skin rash, stomach pain, burning micturition",Bronchial Asthma
"itching, skin rash, stomach pain, burning micturition",Gastroenteritis
"itching, skin rash, fatigue, lethargy, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,",Dengue
"chills, vomiting, high fever, sweating, headache, diarrhoea, muscle pain",Cervical spondylosis
"constipation, pain during bowel movements, bloody stool, irritation in anus",Common Cold
"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history,",Allergy
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Dengue
"itching, skin rash, burning micturition, spotting  urination",Allergy
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain,",Fungal infection
"itching, skin rash, stomach pain, burning micturition",Pneumonia
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",hepatitis A
"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes",Diabetes
"itching, skin rash, burning micturition, spotting  urination",Hepatitis C
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Impetigo
"skin rash, pus filled pimples, blackheads,",Dengue
"joint pain, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis D
"continuous sneezing, shivering, watering from eyes,",Allergy
"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, mild fever, yellowing of eyes, muscle pain,","Chronic cholestasis,"
"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, muscle weakness, irritability, abnormal menstruation,",Tuberculosis
"headache, chest pain, dizziness, loss of balance, lack of concentration",Pneumonia
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Common Cold
"joint pain, neck pain, knee pain, hip joint pain, painful walking",Typhoid
"breathlessness, sweating, chest pain,",Hypothyroidism
"itching, skin rash, burning micturition, spotting  urination",Gastroenteritis
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Allergy
"itching, stomach pain, burning micturition, spotting  urination",hepatitis A
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Fungal infection
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Dimorphic hemmorhoids(piles)
"headache, chest pain, dizziness, loss of balance, lack of concentration",Varicose veins
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Urinary tract infection
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Varicose veins
"continuous sneezing, chills, watering from eyes,",Chicken pox
"skin rash, pus filled pimples, blackheads, scurring",Alcoholic hepatitis
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Malaria
"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, muscle weakness, irritability, abnormal menstruation,",Dengue
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Hypoglycemia
"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Psoriasis
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,",Hypoglycemia
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Malaria
"burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine",Impetigo
"fatigue, yellowish skin, loss of appetite, yellowing of eyes, family history",Peptic ulcer diseae
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Gastroenteritis
"fatigue, cramps, bruising, obesity, swollen blood vessels, prominent veins on calf,",Tuberculosis
"itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Dengue
"vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Tuberculosis
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Dimorphic hemmorhoids(piles)
"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Pneumonia
"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Arthritis
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Diabetes
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Peptic ulcer diseae
"vomiting, headache, nausea, spinning movements, loss of balance",Impetigo
"vomiting, fatigue, anxiety, sweating, headache, nausea, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Drug Reaction
"vomiting, nausea, spinning movements, loss of balance, unsteadiness",Fungal infection
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Tuberculosis
"joint pain, neck pain, knee pain, swelling joints, painful walking",Acne
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Psoriasis
"vomiting, breathlessness, sweating,",Dimorphic hemmorhoids(piles)
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Tuberculosis
"vomiting, breathlessness, chest pain,",Hepatitis C
"itching, nodal skin eruptions, dischromic  patches,",Acne
"itching, skin rash, burning micturition, spotting  urination",Urinary tract infection
"vomiting, breathlessness, chest pain,",Typhoid
"burning micturition, foul smell of urine, continuous feel of urine,",Fungal infection
"continuous sneezing, chills, fatigue, cough, high fever, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Allergy
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",hepatitis A
"vomiting, headache, nausea, spinning movements, loss of balance",Fungal infection
